hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,66630
2,15,7.5,22.5,223848
3,30,22.5,37.5,661897
4,45,37.5,52.5,1850308
5,60,52.5,67.5,1183733
6,75,67.5,82.5,1046067
7,90,82.5,97.5,1749950
8,105,97.5,112.5,579215
9,120,112.5,127.5,134018
10,135,127.5,142.5,69754
11,150,142.5,157.5,49928
12,165,157.5,172.5,46024
13,180,172.5,187.5,56008
14,195,187.5,202.5,85755
15,210,202.5,217.5,177771
16,225,217.5,232.5,396606
17,240,232.5,247.5,590325
18,255,247.5,262.5,294925
19,270,262.5,277.5,64513
20,285,277.5,292.5,35434
21,300,292.5,307.5,28635
22,315,307.5,322.5,26326
23,330,322.5,337.5,29626
24,345,337.5,352.5,39157
