hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,32646
2,15,7.5,22.5,176420
3,30,22.5,37.5,207042
4,45,37.5,52.5,394653
5,60,52.5,67.5,354976
6,75,67.5,82.5,395434
7,90,82.5,97.5,647890
8,105,97.5,112.5,557646
9,120,112.5,127.5,175243
10,135,127.5,142.5,57946
11,150,142.5,157.5,30957
12,165,157.5,172.5,21445
13,180,172.5,187.5,26000
14,195,187.5,202.5,17735
15,210,202.5,217.5,28843
16,225,217.5,232.5,77945
17,240,232.5,247.5,97006
18,255,247.5,262.5,39650
19,270,262.5,277.5,9151
20,285,277.5,292.5,3783
21,300,292.5,307.5,3094
22,315,307.5,322.5,2868
23,330,322.5,337.5,4474
24,345,337.5,352.5,8766
