hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,29992
2,15,7.5,22.5,93387
3,30,22.5,37.5,268419
4,45,37.5,52.5,617797
5,60,52.5,67.5,675587
6,75,67.5,82.5,246682
7,90,82.5,97.5,114853
8,105,97.5,112.5,56824
9,120,112.5,127.5,24117
10,135,127.5,142.5,13666
11,150,142.5,157.5,12169
12,165,157.5,172.5,16141
13,180,172.5,187.5,28088
14,195,187.5,202.5,58376
15,210,202.5,217.5,164379
16,225,217.5,232.5,1059305
17,240,232.5,247.5,634280
18,255,247.5,262.5,69202
19,270,262.5,277.5,19140
20,285,277.5,292.5,7767
21,300,292.5,307.5,5063
22,315,307.5,322.5,4619
23,330,322.5,337.5,6244
24,345,337.5,352.5,12050
