depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
layer1,orange,chroma_minus,0.06826186836679833,0.003590465676191015,10.0,1.0,0.09020279404639037
layer1,orange,chroma_plus,0.09600391529220755,0.005032002845450133,10.0,1.0,0.10564781988360392
layer1,orange,hue_minus,0.04922564860817837,0.002842029016353595,9.0,0.9,0.060976805316723594
layer1,orange,hue_plus,0.05934766603418258,0.004148185311396695,10.0,1.0,0.06942592212594087
layer1,purple,chroma_minus,0.06376381508717402,0.002149091686893666,10.0,1.0,0.0805617437230581
layer1,purple,chroma_plus,0.10887897512171493,0.007237005557061172,9.0,0.9,0.11593176148352488
layer1,purple,hue_minus,0.12557528510772392,0.005863753076563126,10.0,1.0,0.13506313843454162
layer1,purple,hue_plus,0.09170894109873087,0.003478302341287788,10.0,1.0,0.1022150912943953
layer2,orange,chroma_minus,0.05936097776153806,0.0020157560370481584,10.0,1.0,0.07342409569436202
layer2,orange,chroma_plus,0.0879084420907349,0.003191968021593639,10.0,1.0,0.10645219147809551
layer2,orange,hue_minus,0.03738845421220928,0.002090941290596672,10.0,1.0,0.05084157294094355
layer2,orange,hue_plus,0.04002321145688488,0.0011399008131334298,10.0,1.0,0.05429314360141119
layer2,purple,chroma_minus,0.0511205271221888,0.0030003313007346665,10.0,1.0,0.06755923584556278
layer2,purple,chroma_plus,0.08686764965044028,0.00341664676475633,10.0,1.0,0.10924184671106034
layer2,purple,hue_minus,0.13007859094404065,0.006105561619161776,10.0,1.0,0.13900127432176584
layer2,purple,hue_plus,0.0737035933175689,0.0033210677788644677,10.0,1.0,0.08642534418148336
layer3,orange,chroma_minus,0.08973717208140967,0.001999055362255009,10.0,1.0,0.1071350558886488
layer3,orange,chroma_plus,0.1341610004571764,0.004374985227835128,10.0,1.0,0.13982195750822363
layer3,orange,hue_minus,0.06375247388715952,0.0020022876966797267,10.0,1.0,0.08108372976870451
layer3,orange,hue_plus,0.08173098779159313,0.0036316110648944543,10.0,1.0,0.09727406740673142
layer3,purple,chroma_minus,0.07877614619225197,0.0022724843194578894,10.0,1.0,0.09743079854437971
layer3,purple,chroma_plus,0.13702322704653405,0.003552526781159598,10.0,1.0,0.14201023540397545
layer3,purple,hue_minus,0.153767574559583,0.004348551421248326,10.0,1.0,0.15548400673606225
layer3,purple,hue_plus,0.14512563716071564,0.004993619448202712,10.0,1.0,0.1493843122413539
layer4,orange,chroma_minus,0.11777331767896773,0.003319123134184459,10.0,1.0,0.12976461216356527
layer4,orange,chroma_plus,0.16708011169940343,0.0001264530033482135,7.0,0.7,0.16716518130316074
layer4,orange,hue_minus,0.13511772415357076,0.010044001630360342,10.0,1.0,0.13809900015720927
layer4,orange,hue_plus,0.16642803478823756,0.0001783390395673906,10.0,1.0,0.16642279864114504
layer4,purple,chroma_minus,0.12299811038606123,0.0013302004375982744,10.0,1.0,0.13788497620214762
layer4,purple,chroma_plus,0.1671422619500195,6.190851419532087e-05,10.0,1.0,0.1671334720360917
layer4,purple,hue_minus,0.1668207552439361,0.00020764787744509614,10.0,1.0,0.16682882081817402
layer4,purple,hue_plus,0.16689329604882552,0.00010089608102833505,8.0,0.8,0.1669806696946649
stem,orange,chroma_minus,0.07405454650206492,0.0020067304615546838,10.0,1.0,0.0873420636461824
stem,orange,chroma_plus,0.07597482312900214,0.005552013674078392,10.0,1.0,0.0947724730923861
stem,orange,hue_minus,0.04883548498054434,0.002887763069247909,10.0,1.0,0.06977604380701873
stem,orange,hue_plus,0.04661975163136441,0.004585036742061763,10.0,1.0,0.06162290623983402
stem,purple,chroma_minus,0.07163415928974659,0.00451792723539949,10.0,1.0,0.09126981571953763
stem,purple,chroma_plus,0.07529833981592071,0.008480587187968396,10.0,1.0,0.08473945700170941
stem,purple,hue_minus,0.07610297308864858,0.0037330146975297603,10.0,1.0,0.08539389461090147
stem,purple,hue_plus,0.07096474256316437,0.004009805007734224,10.0,1.0,0.07895992574233626
