depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
fc,orange,chroma_minus,0.13395156100654007,0.0019062273753050348,10.0,1.0,0.14748409316596883
fc,orange,chroma_plus,0.16739049010799917,3.5782702382760085e-05,5.0,0.5,0.16743684296971337
fc,orange,hue_minus,0.042852353525204515,0.0019454164622769365,10.0,1.0,0.0589539230798692
fc,orange,hue_plus,0.15582667492370547,0.0034618118374180997,10.0,1.0,0.15732880646378913
fc,purple,chroma_minus,0.13646828491760518,0.0011179157852424435,10.0,1.0,0.14766229548854434
fc,purple,chroma_plus,0.16629087955644123,0.00023770909363005397,10.0,1.0,0.16636473960940792
fc,purple,hue_minus,0.1649153042173127,0.0006034757523295768,10.0,1.0,0.16501296242217361
fc,purple,hue_plus,0.15562386486219199,0.002252715027650824,10.0,1.0,0.1572000654554351
layer1,orange,chroma_minus,0.06458158177638613,0.002382783443125636,10.0,1.0,0.08152775261199613
layer1,orange,chroma_plus,0.14299100840087575,0.004370893160476772,10.0,1.0,0.14669816993457227
layer1,orange,hue_minus,0.039377638652906236,0.001443951031123098,10.0,1.0,0.05341816879261132
layer1,orange,hue_plus,0.08462809001927238,0.004110644740543367,10.0,1.0,0.09520086440993901
layer1,purple,chroma_minus,0.07015262692628813,0.0022595313309486595,10.0,1.0,0.08359962588265195
layer1,purple,chroma_plus,0.11125635279220825,0.0018082003030118576,10.0,1.0,0.12651852629073979
layer1,purple,hue_minus,0.1166981213872755,0.006060270409010732,10.0,1.0,0.1281698530260836
layer1,purple,hue_plus,0.06908897046755236,0.0026604459066537764,10.0,1.0,0.08531978723849272
layer2,orange,chroma_minus,0.0770526382151657,0.0024140324907360976,10.0,1.0,0.09345742027765361
layer2,orange,chroma_plus,0.14441467610284725,0.0057941105562792534,10.0,1.0,0.14777926924738458
layer2,orange,hue_minus,0.0317543122879987,0.0010020557190955396,10.0,1.0,0.05084238330509435
layer2,orange,hue_plus,0.04590305985121702,0.0017694927845521837,10.0,1.0,0.06089004690722909
layer2,purple,chroma_minus,0.05978575695304746,0.0034313852352358546,10.0,1.0,0.07410576106443674
layer2,purple,chroma_plus,0.10043203837545871,0.003987459959542797,10.0,1.0,0.11762287671247887
layer2,purple,hue_minus,0.11906153675371764,0.00410983021358903,10.0,1.0,0.13132829736306287
layer2,purple,hue_plus,0.0633819267032337,0.0019215897926090349,10.0,1.0,0.07913612997633665
layer3,orange,chroma_minus,0.10449391218351098,0.0011956772074668796,10.0,1.0,0.12216961907994905
layer3,orange,chroma_plus,0.1660607617727426,0.00021667061967282732,10.0,1.0,0.16608028374424327
layer3,orange,hue_minus,0.03235671455325068,0.0010727158175591112,10.0,1.0,0.0486392248857421
layer3,orange,hue_plus,0.05220636904744658,0.002342444680650541,10.0,1.0,0.07012516479152046
layer3,purple,chroma_minus,0.08963991138967899,0.002735220129679133,10.0,1.0,0.10918191397357899
layer3,purple,chroma_plus,0.1128312590267659,0.006201974252418849,10.0,1.0,0.12361152798803912
layer3,purple,hue_minus,0.09443077093015642,0.003886342719001148,10.0,1.0,0.10742552648666392
layer3,purple,hue_plus,0.06821521826443919,0.002101097474792284,10.0,1.0,0.08402573218302192
layer4,orange,chroma_minus,0.13738960724459354,0.0012612853019497577,10.0,1.0,0.1452112682080575
layer4,orange,chroma_plus,0.16707205501469558,0.00012366434833694515,6.0,0.6,0.1672638504853835
layer4,orange,hue_minus,0.03449541870867144,0.0009741924388453914,10.0,1.0,0.049061926153580196
layer4,orange,hue_plus,0.12294864952240674,0.0029109721410372127,9.0,0.9,0.13095951186031698
layer4,purple,chroma_minus,0.131630986948184,0.0013787572660497011,10.0,1.0,0.14314992225145057
layer4,purple,chroma_plus,0.16231743095542964,0.001361453814681155,10.0,1.0,0.16194936234443255
layer4,purple,hue_minus,0.1619880773932366,0.0011988207621636312,10.0,1.0,0.16194964639085774
layer4,purple,hue_plus,0.12364196760230128,0.005036074929286421,10.0,1.0,0.13434230283510915
stem,orange,chroma_minus,0.058928170909740875,0.0027450957177398484,10.0,1.0,0.0821980320162139
stem,orange,chroma_plus,0.08915871789078411,0.004151448384421402,10.0,1.0,0.11505820432817711
stem,orange,hue_minus,0.04239847062455227,0.0029762287820935276,10.0,1.0,0.06729024814025938
stem,orange,hue_plus,0.041148102512073445,0.002212150306727393,10.0,1.0,0.055185740477612766
stem,purple,chroma_minus,0.06286842681404449,0.002593555279599181,10.0,1.0,0.07121004557601304
stem,purple,chroma_plus,0.09651608819895544,0.007846897874370358,10.0,1.0,0.11428934746556788
stem,purple,hue_minus,0.10329623643691029,0.00512275685109807,10.0,1.0,0.11612828275921176
stem,purple,hue_plus,0.08646008228143556,0.006108617941327975,10.0,1.0,0.10404935828501782
