depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
layer1,orange,chroma_minus,0.06421945180706082,0.003965709410601355,10.0,1.0,0.08447516288759503
layer1,orange,chroma_plus,0.07855722173232535,0.0032675534873721317,10.0,1.0,0.0864689831334516
layer1,orange,hue_minus,0.03302214614444165,0.0015428560420974147,10.0,1.0,0.045895291817832695
layer1,orange,hue_plus,0.050081956930905856,0.0035601290032155133,10.0,1.0,0.07009156476220765
layer1,purple,chroma_minus,0.060447315840414385,0.0027488963027469423,10.0,1.0,0.07862413446965456
layer1,purple,chroma_plus,0.07943315969472765,0.004305571576162152,10.0,1.0,0.0956929623267989
layer1,purple,hue_minus,0.10697069026672398,0.005137797404256658,10.0,1.0,0.12194554011739389
layer1,purple,hue_plus,0.09348962278321651,0.0017135573625998524,10.0,1.0,0.10665673987301579
layer2,orange,chroma_minus,0.06838493452996836,0.0020608088386122447,10.0,1.0,0.08290774366970528
layer2,orange,chroma_plus,0.1445216360667791,0.00569667903537305,10.0,1.0,0.14599633045988109
layer2,orange,hue_minus,0.03450170980438501,0.0006918280576389919,10.0,1.0,0.054421463373192557
layer2,orange,hue_plus,0.07803346008191574,0.0021584263935490594,10.0,1.0,0.09467713300285155
layer2,purple,chroma_minus,0.08256940018032845,0.002073876649723555,10.0,1.0,0.10378793619325896
layer2,purple,chroma_plus,0.1584778432070995,0.0029766306143508424,10.0,1.0,0.15971755354329062
layer2,purple,hue_minus,0.16153112843507197,0.0027987678804281533,10.0,1.0,0.1620325602087811
layer2,purple,hue_plus,0.10863108561672927,0.004215621756561692,10.0,1.0,0.12041210918872254
layer3,orange,chroma_minus,0.06489635832325188,0.001953602350194457,10.0,1.0,0.07956649059046164
layer3,orange,chroma_plus,0.14175879346507808,0.0035230913036902152,10.0,1.0,0.14432554891847885
layer3,orange,hue_minus,0.03464833741025663,0.0008251086316437025,10.0,1.0,0.0537576040502926
layer3,orange,hue_plus,0.07757619882886971,0.002619277100063654,10.0,1.0,0.09604971597746917
layer3,purple,chroma_minus,0.08286655628421871,0.0012644685706135307,10.0,1.0,0.10336767776527507
layer3,purple,chroma_plus,0.16299914339233865,0.001657201521167937,10.0,1.0,0.16349937625176242
layer3,purple,hue_minus,0.15857761586518224,0.0023195035962594065,10.0,1.0,0.15965619214584342
layer3,purple,hue_plus,0.11489755732839887,0.003320949451462211,10.0,1.0,0.1282749287830213
layer4,orange,chroma_minus,0.05840118153676641,0.0009816104124917965,10.0,1.0,0.08048734097926483
layer4,orange,chroma_plus,0.10845155029705436,0.007770602672855357,10.0,1.0,0.11900649405938349
layer4,orange,hue_minus,0.03230746174262219,0.0008547287178156818,10.0,1.0,0.04728274529399064
layer4,orange,hue_plus,0.05012564006333107,0.001454824809522577,10.0,1.0,0.07108316390903222
layer4,purple,chroma_minus,0.07803612268802092,0.0018907323421209884,10.0,1.0,0.09499179227880909
layer4,purple,chroma_plus,0.15963025562300545,0.0036586218746791506,10.0,1.0,0.16042455631217212
layer4,purple,hue_minus,0.164902976252629,0.0005510309835064183,10.0,1.0,0.16488464908351236
layer4,purple,hue_plus,0.1248576243475078,0.0015076993897911015,10.0,1.0,0.13507855130524116
stem,orange,chroma_minus,0.07227338854629659,0.002767550759737857,10.0,1.0,0.08606118965131997
stem,orange,chroma_plus,0.09549318265532192,0.007381290239321429,10.0,1.0,0.10952367100451124
stem,orange,hue_minus,0.045516039549836226,0.002123524887040751,10.0,1.0,0.07220371328817102
stem,orange,hue_plus,0.05514967371511623,0.0038482350355389604,10.0,1.0,0.07083481535016303
stem,purple,chroma_minus,0.06851555072263504,0.0038338275581369934,10.0,1.0,0.08462131249635667
stem,purple,chroma_plus,0.08681098550058852,0.007097808958947168,10.0,1.0,0.09652279483036154
stem,purple,hue_minus,0.09589571740612163,0.005463603166339672,10.0,1.0,0.105085192678166
stem,purple,hue_plus,0.07659367576962586,0.0031853369295954314,10.0,1.0,0.08470697725774416
