ptID,hue/chroma,quadrant,direction,JND
vu80,chroma,orange,pos,0.0186
vu80,chroma,orange,neg,0.0342
wg49,hue,purple,pos,0.0406
wg49,hue,purple,neg,0.0504
wg49,hue,orange,pos,0.0125
wg49,hue,orange,neg,0.0169
wg49,chroma,purple,pos,0.0369
wg49,chroma,purple,neg,0.0623
wg49,chroma,orange,pos,0.0292
wg49,chroma,orange,neg,0.0416
ws81,hue,purple,pos,0.0426
ws81,hue,purple,neg,0.0374
ws81,hue,orange,pos,0.0152
ws81,hue,orange,neg,0.0178
ws81,chroma,purple,pos,0.0421
ws81,chroma,purple,neg,0.0456
ws81,chroma,orange,pos,0.0265
ws81,chroma,orange,neg,0.0408
wx66,hue,purple,pos,0.0476
wx66,hue,purple,neg,0.0380
wx66,hue,orange,pos,0.0156
wx66,hue,orange,neg,0.0189
wx66,chroma,purple,pos,0.0414
wx66,chroma,purple,neg,0.0501
wx66,chroma,orange,pos,0.0201
wx66,chroma,orange,neg,0.0378
wy91,hue,purple,pos,0.0549
wy91,hue,purple,neg,0.0618
wy91,hue,orange,pos,0.0308
wy91,hue,orange,neg,0.0276
wy91,chroma,purple,pos,0.0480
wy91,chroma,purple,neg,0.0661
wy91,chroma,orange,pos,0.0332
wy91,chroma,orange,neg,0.0632
xc95,hue,purple,pos,0.0578
xc95,hue,purple,neg,0.0469
xc95,hue,orange,pos,0.0328
xc95,hue,orange,neg,0.0275
xc95,chroma,purple,pos,0.0585
xc95,chroma,purple,neg,0.0581
xc95,chroma,orange,pos,0.0549
xc95,chroma,orange,neg,0.0554
xr02,hue,purple,pos,0.0423
xr02,hue,purple,neg,0.0452
xr02,hue,orange,pos,0.0121
xr02,hue,orange,neg,0.0224
xr02,chroma,purple,pos,0.0427
xr02,chroma,purple,neg,0.0641
xr02,chroma,orange,pos,0.0320
xr02,chroma,orange,neg,0.0422
ze77,hue,purple,pos,0.0535
ze77,hue,purple,neg,0.0610
ze77,hue,orange,pos,0.0257
ze77,hue,orange,neg,0.0237
ze77,chroma,purple,pos,0.0546
ze77,chroma,purple,neg,0.0612
ze77,chroma,orange,pos,0.0281
ze77,chroma,orange,neg,0.0500
zj52,hue,purple,pos,0.0371
zj52,hue,purple,neg,0.0371
zj52,hue,orange,pos,0.0203
zj52,hue,orange,neg,0.0220
zj52,chroma,purple,pos,0.0422
zj52,chroma,purple,neg,0.0618
zj52,chroma,orange,pos,0.0432
zj52,chroma,orange,neg,0.0407
zz55,hue,purple,pos,0.0373
zz55,hue,purple,neg,0.0337
zz55,hue,orange,pos,0.0191
zz55,hue,orange,neg,0.0190
zz55,chroma,purple,pos,0.0432
zz55,chroma,purple,neg,0.0648
zz55,chroma,orange,pos,0.0293
zz55,chroma,orange,neg,0.0413
wl41,hue,purple,pos,0.0344
wl41,hue,purple,neg,0.0326
wl41,hue,orange,pos,0.0157
wl41,hue,orange,neg,0.0183
wl41,chroma,purple,pos,0.0363
wl41,chroma,purple,neg,0.0478
wl41,chroma,orange,pos,0.0337
wl41,chroma,orange,neg,0.0353
