depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
layer1,orange,chroma_minus,0.018448685411671866,0.0011906471842911253,10.0,1.0,0.030387250044041712
layer1,orange,chroma_plus,0.03975715316674385,0.003238248214816055,10.0,1.0,0.060587356921564896
layer1,orange,hue_minus,0.008962257971668481,0.0005184263197090104,10.0,1.0,0.027262603119545214
layer1,orange,hue_plus,0.025534364835141488,0.0027708468613241105,10.0,1.0,0.048763143265143985
layer1,purple,chroma_minus,0.04125057849819945,0.002201291790795444,10.0,1.0,0.06092788884668813
layer1,purple,chroma_plus,0.055351900525167655,0.003455129592689189,10.0,1.0,0.06443976373114503
layer1,purple,hue_minus,0.08602997986745282,0.0029986152847235334,10.0,1.0,0.10172204291681045
layer1,purple,hue_plus,0.06914355115978779,0.0024295493799878975,10.0,1.0,0.08312179952274552
layer2,orange,chroma_minus,0.012713384514763226,0.0005887123360367086,10.0,1.0,0.027718890885588904
layer2,orange,chroma_plus,0.02050412423045502,0.002386247647269159,10.0,1.0,0.03651569652385919
layer2,orange,hue_minus,0.007003382749810966,0.0005451620423432324,10.0,1.0,0.027262603119545214
layer2,orange,hue_plus,0.012598280847550266,0.0014994273562209772,10.0,1.0,0.028735865640421587
layer2,purple,chroma_minus,0.047388385169458015,0.0018430448115187713,10.0,1.0,0.06131782424211431
layer2,purple,chroma_plus,0.07965565349806927,0.004169573376579182,10.0,1.0,0.0947584839725524
layer2,purple,hue_minus,0.09908075801343655,0.006432349970282746,10.0,1.0,0.11001070727031555
layer2,purple,hue_plus,0.05799069120592045,0.003578432864806299,10.0,1.0,0.07469562615569836
layer3,orange,chroma_minus,0.021451616542242997,0.0022387273746928464,10.0,1.0,0.040658148249593726
layer3,orange,chroma_plus,0.016671520840542645,0.0021704476597609788,10.0,1.0,0.033308726331324
layer3,orange,hue_minus,0.011049672089486104,0.0006622064574836728,10.0,1.0,0.028248851318963614
layer3,orange,hue_plus,0.014036182322886254,0.001834587778485516,10.0,1.0,0.034339833158718344
layer3,purple,chroma_minus,0.06119533723460813,0.002379115844331505,10.0,1.0,0.08984190638399002
layer3,purple,chroma_plus,0.1231311206242182,0.005930547038570404,10.0,1.0,0.13174351320345734
layer3,purple,hue_minus,0.1499715278928786,0.0057126097105123595,10.0,1.0,0.15129982598102326
layer3,purple,hue_plus,0.08578285893556739,0.0031737749341242644,10.0,1.0,0.10458852752563172
layer4,orange,chroma_minus,0.019641439186986888,0.0010493687993351664,10.0,1.0,0.03338158609224094
layer4,orange,chroma_plus,0.03546617848409698,0.010611877507167902,10.0,1.0,0.05308931281250963
layer4,orange,hue_minus,0.011017336232080604,0.0006489831822524782,10.0,1.0,0.027792563552919917
layer4,orange,hue_plus,0.012241231631396843,0.001910243774004636,10.0,1.0,0.03106619835581913
layer4,purple,chroma_minus,0.07461793809264337,0.001853888479187877,10.0,1.0,0.09050189563740116
layer4,purple,chroma_plus,0.1653551129638177,0.0005439669530356744,10.0,1.0,0.16540551041178284
layer4,purple,hue_minus,0.1668844183785755,0.00012143730895131346,10.0,1.0,0.1668748222129639
layer4,purple,hue_plus,0.09629186521527404,0.004201644570856901,10.0,1.0,0.11753347518047393
stem,orange,chroma_minus,0.050250579331111524,0.0027028537026321923,10.0,1.0,0.07839810727585514
stem,orange,chroma_plus,0.09875312054542414,0.004933626669000371,10.0,1.0,0.11229167523233419
stem,orange,hue_minus,0.026511269205602057,0.0013510753173213456,10.0,1.0,0.04570795714286023
stem,orange,hue_plus,0.06089162832697621,0.0033853116303393755,10.0,1.0,0.07986470243043522
stem,purple,chroma_minus,0.045495859262320894,0.002384390166684226,10.0,1.0,0.05722648540614992
stem,purple,chroma_plus,0.09613709077100409,0.004361616744706856,10.0,1.0,0.1092362310355813
stem,purple,hue_minus,0.1261299345042984,0.005533524751162466,10.0,1.0,0.1353717876333133
stem,purple,hue_plus,0.07043666631015184,0.0023795977362658753,10.0,1.0,0.0877728003017243
