depth,hue/chroma,quadrant,direction,threshold_mean,threshold_se,n_measured,max_tested_mean
block_1,chroma,orange,neg,0.06826186836679833,0.003590465676191015,10,0.09020279404639037
block_1,chroma,orange,pos,0.09600391529220755,0.005032002845450133,10,0.10564781988360392
block_1,hue,orange,neg,0.04922564860817837,0.002842029016353595,10,0.060976805316723594
block_1,hue,orange,pos,0.05934766603418258,0.004148185311396695,10,0.06942592212594087
block_1,chroma,purple,neg,0.06376381508717402,0.002149091686893666,10,0.0805617437230581
block_1,chroma,purple,pos,0.10887897512171493,0.007237005557061172,10,0.11593176148352488
block_1,hue,purple,neg,0.12557528510772392,0.005863753076563126,10,0.13506313843454162
block_1,hue,purple,pos,0.09170894109873087,0.003478302341287788,10,0.1022150912943953
block_2,chroma,orange,neg,0.05936097776153806,0.0020157560370481584,10,0.07342409569436202
block_2,chroma,orange,pos,0.0879084420907349,0.003191968021593639,10,0.10645219147809551
block_2,hue,orange,neg,0.03738845421220928,0.002090941290596672,10,0.05084157294094355
block_2,hue,orange,pos,0.04002321145688488,0.0011399008131334298,10,0.05429314360141119
block_2,chroma,purple,neg,0.0511205271221888,0.0030003313007346665,10,0.06755923584556278
block_2,chroma,purple,pos,0.08686764965044028,0.00341664676475633,10,0.10924184671106034
block_2,hue,purple,neg,0.13007859094404065,0.006105561619161776,10,0.13900127432176584
block_2,hue,purple,pos,0.0737035933175689,0.0033210677788644677,10,0.08642534418148336
block_3,chroma,orange,neg,0.08973717208140967,0.001999055362255009,10,0.1071350558886488
block_3,chroma,orange,pos,0.1341610004571764,0.004374985227835128,10,0.13982195750822363
block_3,hue,orange,neg,0.06375247388715952,0.0020022876966797267,10,0.08108372976870451
block_3,hue,orange,pos,0.08173098779159313,0.0036316110648944543,10,0.09727406740673142
block_3,chroma,purple,neg,0.07877614619225197,0.0022724843194578894,10,0.09743079854437971
block_3,chroma,purple,pos,0.13702322704653405,0.003552526781159598,10,0.14201023540397545
block_3,hue,purple,neg,0.153767574559583,0.004348551421248326,10,0.15548400673606225
block_3,hue,purple,pos,0.14512563716071564,0.004993619448202712,10,0.1493843122413539
block_4,chroma,orange,neg,0.11777331767896773,0.003319123134184459,10,0.12976461216356527
block_4,chroma,orange,pos,0.16708011169940343,0.0001264530033482135,10,0.16716518130316074
block_4,hue,orange,neg,0.13511772415357076,0.010044001630360342,10,0.13809900015720927
block_4,hue,orange,pos,0.16642803478823756,0.0001783390395673906,10,0.16642279864114504
block_4,chroma,purple,neg,0.12299811038606123,0.0013302004375982744,10,0.13788497620214762
block_4,chroma,purple,pos,0.1671422619500195,6.190851419532087e-05,10,0.1671334720360917
block_4,hue,purple,neg,0.1668207552439361,0.00020764787744509614,10,0.16682882081817402
block_4,hue,purple,pos,0.16689329604882552,0.00010089608102833505,10,0.1669806696946649
layer_1,chroma,orange,neg,0.07405454650206492,0.0020067304615546838,10,0.0873420636461824
layer_1,chroma,orange,pos,0.07597482312900214,0.005552013674078392,10,0.0947724730923861
layer_1,hue,orange,neg,0.04883548498054434,0.002887763069247909,10,0.06977604380701873
layer_1,hue,orange,pos,0.04661975163136441,0.004585036742061763,10,0.06162290623983402
layer_1,chroma,purple,neg,0.07163415928974659,0.00451792723539949,10,0.09126981571953763
layer_1,chroma,purple,pos,0.07529833981592071,0.008480587187968396,10,0.08473945700170941
layer_1,hue,purple,neg,0.07610297308864858,0.0037330146975297603,10,0.08539389461090147
layer_1,hue,purple,pos,0.07096474256316437,0.004009805007734224,10,0.07895992574233626
