depth,hue/chroma,quadrant,direction,threshold_mean,threshold_se,n_measured,max_tested_mean
final_layer,chroma,orange,neg,0.13395156100654007,0.0019062273753050348,10,0.14748409316596883
final_layer,chroma,orange,pos,0.16739049010799917,3.5782702382760085e-05,10,0.16743684296971337
final_layer,hue,orange,neg,0.042852353525204515,0.0019454164622769365,10,0.0589539230798692
final_layer,hue,orange,pos,0.15582667492370547,0.0034618118374180997,10,0.15732880646378913
final_layer,chroma,purple,neg,0.13646828491760518,0.0011179157852424435,10,0.14766229548854434
final_layer,chroma,purple,pos,0.16629087955644123,0.00023770909363005397,10,0.16636473960940792
final_layer,hue,purple,neg,0.1649153042173127,0.0006034757523295768,10,0.16501296242217361
final_layer,hue,purple,pos,0.15562386486219199,0.002252715027650824,10,0.1572000654554351
block_1,chroma,orange,neg,0.06458158177638613,0.002382783443125636,10,0.08152775261199613
block_1,chroma,orange,pos,0.14299100840087575,0.004370893160476772,10,0.14669816993457227
block_1,hue,orange,neg,0.039377638652906236,0.001443951031123098,10,0.05341816879261132
block_1,hue,orange,pos,0.08462809001927238,0.004110644740543367,10,0.09520086440993901
block_1,chroma,purple,neg,0.07015262692628813,0.0022595313309486595,10,0.08359962588265195
block_1,chroma,purple,pos,0.11125635279220825,0.0018082003030118576,10,0.12651852629073979
block_1,hue,purple,neg,0.1166981213872755,0.006060270409010732,10,0.1281698530260836
block_1,hue,purple,pos,0.06908897046755236,0.0026604459066537764,10,0.08531978723849272
block_2,chroma,orange,neg,0.0770526382151657,0.0024140324907360976,10,0.09345742027765361
block_2,chroma,orange,pos,0.14441467610284725,0.0057941105562792534,10,0.14777926924738458
block_2,hue,orange,neg,0.0317543122879987,0.0010020557190955396,10,0.05084238330509435
block_2,hue,orange,pos,0.04590305985121702,0.0017694927845521837,10,0.06089004690722909
block_2,chroma,purple,neg,0.05978575695304746,0.0034313852352358546,10,0.07410576106443674
block_2,chroma,purple,pos,0.10043203837545871,0.003987459959542797,10,0.11762287671247887
block_2,hue,purple,neg,0.11906153675371764,0.00410983021358903,10,0.13132829736306287
block_2,hue,purple,pos,0.0633819267032337,0.0019215897926090349,10,0.07913612997633665
block_3,chroma,orange,neg,0.10449391218351098,0.0011956772074668796,10,0.12216961907994905
block_3,chroma,orange,pos,0.1660607617727426,0.00021667061967282732,10,0.16608028374424327
block_3,hue,orange,neg,0.03235671455325068,0.0010727158175591112,10,0.0486392248857421
block_3,hue,orange,pos,0.05220636904744658,0.002342444680650541,10,0.07012516479152046
block_3,chroma,purple,neg,0.08963991138967899,0.002735220129679133,10,0.10918191397357899
block_3,chroma,purple,pos,0.1128312590267659,0.006201974252418849,10,0.12361152798803912
block_3,hue,purple,neg,0.09443077093015642,0.003886342719001148,10,0.10742552648666392
block_3,hue,purple,pos,0.06821521826443919,0.002101097474792284,10,0.08402573218302192
block_4,chroma,orange,neg,0.13738960724459354,0.0012612853019497577,10,0.1452112682080575
block_4,chroma,orange,pos,0.16707205501469558,0.00012366434833694515,10,0.1672638504853835
block_4,hue,orange,neg,0.03449541870867144,0.0009741924388453914,10,0.049061926153580196
block_4,hue,orange,pos,0.12294864952240674,0.0029109721410372127,10,0.13095951186031698
block_4,chroma,purple,neg,0.131630986948184,0.0013787572660497011,10,0.14314992225145057
block_4,chroma,purple,pos,0.16231743095542964,0.001361453814681155,10,0.16194936234443255
block_4,hue,purple,neg,0.1619880773932366,0.0011988207621636312,10,0.16194964639085774
block_4,hue,purple,pos,0.12364196760230128,0.005036074929286421,10,0.13434230283510915
layer_1,chroma,orange,neg,0.058928170909740875,0.0027450957177398484,10,0.0821980320162139
layer_1,chroma,orange,pos,0.08915871789078411,0.004151448384421402,10,0.11505820432817711
layer_1,hue,orange,neg,0.04239847062455227,0.0029762287820935276,10,0.06729024814025938
layer_1,hue,orange,pos,0.041148102512073445,0.002212150306727393,10,0.055185740477612766
layer_1,chroma,purple,neg,0.06286842681404449,0.002593555279599181,10,0.07121004557601304
layer_1,chroma,purple,pos,0.09651608819895544,0.007846897874370358,10,0.11428934746556788
layer_1,hue,purple,neg,0.10329623643691029,0.00512275685109807,10,0.11612828275921176
layer_1,hue,purple,pos,0.08646008228143556,0.006108617941327975,10,0.10404935828501782
